Author Name,Tweet,Friends,CreatedAt,Id,Favorite Count,Retweet Count,Company,Source
Derrick Zierler,RT @Plantandwatch: #shortsqueeze coming to $KOPN 9 mill short on ~ 30 mill float. 235 mill mkt cap 77 mill n cash 35-40 mill in revs with 3â€¦,1215,3/8/18 0:35,9.71545E+17,0,1,GOOGLE,Twitter
real aloy,"Not just Facebook.... more to come.... Apple, Google, Sony, Samsung, Intel, Qualcomm, Samsung..... $BB $AAPL $INTCâ€¦",128,3/8/18 0:30,9.71544E+17,3,1,GOOGLE,Twitter
real aloy,"@ReutersTech Not just Facebook.... more to come.... Apple, Google, Sony, Samsung, Intel, Qualcomm, Samsung.....â€¦ 99",128,3/8/18 0:30,9.71544E+17,1,1,GOOGLE,Twitter
real aloy,"@CBCNews Not just Facebook.... more to come.... Apple, Google, Sony, Samsung, Intel, Qualcomm, Samsung..... $BBâ€¦",128,3/8/18 0:29,9.71543E+17,1,1,GOOGLE,Twitter
FlowerPower,1/2 #FastMoneyEspresso FINAL CALLS: Jim Lebenthal â€”&gt; buy $INTC Steve Weiss â€”&gt; buy $GOOGL Sarat Sethi â€”&gt; buy $GM d,89,3/8/18 0:25,9.71542E+17,0,0,GOOGLE,Twitter
Sourcingstocks,"Check out the #NASDAQ or #NYSE trade of the week by clicking $MSFT, $NFLX, $GOOGL, $SNAP,â€¦",10089,3/8/18 0:15,9.7154E+17,0,0,GOOGLE,Twitter
TalkMarkets,FAANG Stocks Back Above 50-DMAs $FB $AAPL $NFLX $AMZN $GOOGL,903,3/8/18 0:12,9.71539E+17,0,0,GOOGLE,Twitter
ProTradersNews,$AMZN $GOOG $GOOGL: There Are Nearly 50 Million Smart Speaker Users in the US: c,5,3/8/18 0:02,9.71536E+17,0,0,GOOGLE,Twitter
Trump-Bull Market-Blockchain Real Estate Capital,@CNBC @jimcramer Because itâ€™s already up 50% since last year? Or does he like the &lt;2% yield? Maybe he likes the facâ€¦,205,3/7/18 23:58,9.71536E+17,0,0,GOOGLE,Twitter
David Hewitt,RT @BrianSozzi: Apple...Microsoft...and Alphabet have so...much...cash! @jimcramer $AAPL $MSFT $GOOGL,291,3/7/18 23:58,9.71536E+17,0,2,GOOGLE,Twitter
TheOlympiaReport,Traders Sell Alphabet $GOOGL on Strength $GOOGL,15,3/7/18 23:58,9.71536E+17,0,0,GOOGLE,Twitter
US Banking News,Investment Analystsâ€™ Recent Ratings Updates for Alphabet $GOOGL #stocks,2251,3/7/18 23:56,9.71535E+17,0,0,GOOGLE,Twitter
The Lincolnian,Traders Sell Alphabet $GOOGL on Strength $GOOGL,35,3/7/18 23:55,9.71535E+17,0,0,GOOGLE,Twitter
real aloy,"RT @rimisback: BlackBerry owns the Mobile First World through its Technology, Cryptography and Patents. Those who have infringed on BlackBeâ€¦",128,3/7/18 23:50,9.71534E+17,0,1,GOOGLE,Twitter
Super Stocks,$GOOGL #options flow grid for today with threshold 100 in #superstocks app,3362,3/7/18 23:41,9.71531E+17,0,0,GOOGLE,Twitter
